Rk,Squad,Competition,# of Players,Weekly Wages,Annual Wages,% Estimated,Season
46,Sampdoria,it Serie A,39,"€ 673,923 (£ 565,090, $686,803)","€ 35,044,000 (£ 29,384,691, $35,713,748)",100%,2017-2018
47,Hamburger SV,de Bundesliga,34,"€ 658,231 (£ 551,932, $670,811)","€ 34,228,000 (£ 28,700,464, $34,882,158)",100%,2017-2018
48,Villarreal,es La Liga,41,"€ 626,654 (£ 525,455, $638,630)","€ 32,586,000 (£ 27,323,636, $33,208,772)",100%,2017-2018
49,Fiorentina,it Serie A,41,"€ 607,923 (£ 509,749, $619,541)","€ 31,612,000 (£ 26,506,931, $32,216,154)",100%,2017-2018
50,Genoa,it Serie A,44,"€ 599,154 (£ 502,396, $610,605)","€ 31,156,000 (£ 26,124,570, $31,751,443)",100%,2017-2018
51,Espanyol,es La Liga,29,"€ 595,058 (£ 498,961, $606,430)","€ 30,943,000 (£ 25,945,961, $31,534,373)",100%,2017-2018
52,Sassuolo,it Serie A,39,"€ 591,462 (£ 495,946, $602,765)","€ 30,756,000 (£ 25,789,166, $31,343,797)",100%,2017-2018
53,Levante,es La Liga,41,"€ 588,731 (£ 493,656, $599,982)","€ 30,614,000 (£ 25,670,098, $31,199,086)",100%,2017-2018
54,Huddersfield,eng Premier League,36,"€ 587,269 (£ 492,442, $598,426)","€ 30,538,003 (£ 25,607,000, $31,118,172)",100%,2017-2018
55,Stuttgart,de Bundesliga,35,"€ 562,923 (£ 472,016, $573,682)","€ 29,272,000 (£ 24,544,814, $29,831,438)",100%,2017-2018
56,Köln,de Bundesliga,38,"€ 562,635 (£ 471,774, $573,387)","€ 29,257,000 (£ 24,532,242, $29,816,147)",100%,2017-2018
57,Torino,it Serie A,51,"€ 532,154 (£ 446,216, $542,324)","€ 27,672,000 (£ 23,203,209, $28,200,854)",100%,2017-2018
58,Werder Bremen,de Bundesliga,33,"€ 524,308 (£ 439,636, $534,328)","€ 27,264,000 (£ 22,861,089, $27,785,063)",100%,2017-2018
59,Lille,fr Ligue 1,32,"€ 520,846 (£ 436,734, $530,800)","€ 27,084,000 (£ 22,710,158, $27,601,617)",100%,2017-2018
60,Eint Frankfurt,de Bundesliga,36,"€ 495,462 (£ 415,449, $504,931)","€ 25,764,000 (£ 21,603,327, $26,256,394)",100%,2017-2018
61,Hertha BSC,de Bundesliga,32,"€ 490,519 (£ 411,304, $499,894)","€ 25,507,000 (£ 21,387,830, $25,994,483)",100%,2017-2018
62,Málaga,es La Liga,40,"€ 480,231 (£ 402,678, $489,409)","€ 24,972,000 (£ 20,939,231, $25,449,261)",100%,2017-2018
63,Betis,es La Liga,32,"€ 477,904 (£ 400,726, $487,037)","€ 24,851,000 (£ 20,837,775, $25,325,944)",100%,2017-2018
64,Bologna,it Serie A,41,"€ 453,904 (£ 380,602, $462,579)","€ 23,603,000 (£ 19,791,316, $24,054,088)",100%,2017-2018
65,Cagliari,it Serie A,41,"€ 448,250 (£ 375,861, $456,817)","€ 23,309,000 (£ 19,544,792, $23,754,471)",100%,2017-2018
66,Atalanta,it Serie A,37,"€ 437,731 (£ 367,041, $446,096)","€ 22,762,000 (£ 19,086,131, $23,197,016)",100%,2017-2018
67,Nice,fr Ligue 1,40,"€ 419,423 (£ 351,690, $427,439)","€ 21,810,000 (£ 18,287,868, $22,226,825)",100%,2017-2018
68,La Coruña,es La Liga,36,"€ 404,981 (£ 339,580, $412,721)","€ 21,059,000 (£ 17,658,147, $21,461,472)",100%,2017-2018
69,Saint-Étienne,fr Ligue 1,40,"€ 393,846 (£ 330,243, $401,373)","€ 20,480,000 (£ 17,172,650, $20,871,408)",100%,2017-2018
70,SPAL,it Serie A,42,"€ 379,481 (£ 318,198, $386,733)","€ 19,733,000 (£ 16,546,290, $20,110,131)",100%,2017-2018
71,Las Palmas,es La Liga,39,"€ 378,923 (£ 317,730, $386,165)","€ 19,704,000 (£ 16,521,970, $20,080,579)",100%,2017-2018
72,Bordeaux,fr Ligue 1,37,"€ 376,981 (£ 316,101, $384,185)","€ 19,603,000 (£ 16,437,274, $19,977,645)",100%,2017-2018
73,Toulouse,fr Ligue 1,28,"€ 360,442 (£ 302,234, $367,331)","€ 18,743,000 (£ 15,716,163, $19,101,212)",100%,2017-2018
74,Eibar,es La Liga,34,"€ 348,038 (£ 291,833, $354,690)","€ 18,098,000 (£ 15,175,325, $18,443,882)",100%,2017-2018
75,Freiburg,de Bundesliga,36,"€ 347,231 (£ 291,156, $353,867)","€ 18,056,000 (£ 15,140,104, $18,401,082)",100%,2017-2018
76,Hellas Verona,it Serie A,41,"€ 343,173 (£ 287,754, $349,732)","€ 17,845,000 (£ 14,963,185, $18,186,047)",100%,2017-2018
77,Mainz 05,de Bundesliga,33,"€ 342,673 (£ 287,334, $349,222)","€ 17,819,000 (£ 14,941,378, $18,159,552)",100%,2017-2018
78,Benevento,it Serie A,49,"€ 340,846 (£ 285,802, $347,360)","€ 17,724,000 (£ 14,861,727, $18,062,733)",100%,2017-2018
79,Udinese,it Serie A,46,"€ 332,615 (£ 278,901, $338,972)","€ 17,296,000 (£ 14,502,844, $17,626,553)",100%,2017-2018
80,Augsburg,de Bundesliga,33,"€ 318,519 (£ 267,081, $324,607)","€ 16,563,000 (£ 13,888,213, $16,879,548)",100%,2017-2018
81,Alavés,es La Liga,33,"€ 301,769 (£ 253,036, $307,537)","€ 15,692,000 (£ 13,157,875, $15,991,901)",100%,2017-2018
82,Nantes,fr Ligue 1,36,"€ 284,250 (£ 238,346, $289,683)","€ 14,781,000 (£ 12,393,992, $15,063,490)",100%,2017-2018
83,Rennes,fr Ligue 1,35,"€ 272,212 (£ 228,252, $277,414)","€ 14,155,000 (£ 11,869,086, $14,425,526)",100%,2017-2018
84,Getafe,es La Liga,36,"€ 270,423 (£ 226,752, $275,591)","€ 14,062,000 (£ 11,791,104, $14,330,747)",100%,2017-2018
85,Girona,es La Liga,32,"€ 260,654 (£ 218,560, $265,635)","€ 13,554,000 (£ 11,365,144, $13,813,041)",100%,2017-2018
86,Chievo,it Serie A,36,"€ 255,788 (£ 214,481, $260,677)","€ 13,301,000 (£ 11,153,003, $13,555,204)",100%,2017-2018
87,Metz,fr Ligue 1,45,"€ 253,885 (£ 212,884, $258,737)","€ 13,202,000 (£ 11,069,988, $13,454,314)",100%,2017-2018
88,Amiens,fr Ligue 1,36,"€ 237,115 (£ 198,823, $241,647)","€ 12,330,000 (£ 10,338,805, $12,565,645)",100%,2017-2018
89,Montpellier,fr Ligue 1,31,"€ 230,885 (£ 193,599, $235,297)","€ 12,006,000 (£ 10,067,131, $12,235,453)",100%,2017-2018
