,,,,,,Rk,Squad,Competition,# of Players,Average Age,Possession,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90
72,RB Leipzig,de Bundesliga,29,25.3,56.1,34,374,"3,060",34.0,72,53,125,64,8,9,49,0,64.5,58.4,49.2,107.6,542,1467,2.12,1.56,3.68,1.88,3.44,1.90,1.45,3.34,1.72,3.16
73,Real Madrid,es La Liga,31,27.7,59.9,38,418,"3,420",38.0,80,59,139,72,8,12,76,0,71.7,62.2,50.7,112.9,1029,2078,2.11,1.55,3.66,1.89,3.45,1.89,1.33,3.22,1.64,2.97
74,Real Sociedad,es La Liga,32,25.7,54.3,38,418,"3,420",38.0,40,22,62,31,9,10,77,4,51.5,43.8,32.9,76.7,667,1462,1.05,0.58,1.63,0.82,1.39,1.36,0.87,2.22,1.15,2.02
75,Reims,fr Ligue 1,35,24.0,42.2,38,418,"3,420",38.0,42,27,69,38,4,6,68,7,37.7,32.8,26.0,58.8,614,1185,1.11,0.71,1.82,1.00,1.71,0.99,0.68,1.68,0.86,1.55
76,Rennes,fr Ligue 1,28,25.3,55.9,38,418,"3,420",38.0,81,61,142,77,4,4,56,2,62.8,59.6,47.1,106.7,676,1737,2.13,1.61,3.74,2.03,3.63,1.65,1.24,2.89,1.57,2.81
77,Roma,it Serie A,29,26.4,51.4,38,418,"3,420",38.0,58,31,89,51,7,9,111,8,65.1,58.1,46.3,104.4,733,1587,1.53,0.82,2.34,1.34,2.16,1.71,1.22,2.93,1.53,2.75
78,Saint-Étienne,fr Ligue 1,39,25.1,48.5,38,418,"3,420",38.0,41,25,66,36,5,5,81,5,38.3,34.5,26.2,60.7,685,1400,1.08,0.66,1.74,0.95,1.61,1.01,0.69,1.70,0.91,1.60
79,Salernitana,it Serie A,42,27.7,41.2,38,418,"3,420",38.0,32,19,51,28,4,5,94,5,36.5,32.9,24.8,57.7,528,1031,0.84,0.50,1.34,0.74,1.24,0.96,0.65,1.61,0.87,1.52
80,Sampdoria,it Serie A,34,29.0,46.1,38,418,"3,420",38.0,42,29,71,40,2,4,94,4,36.7,33.4,26.2,59.6,467,1187,1.11,0.76,1.87,1.05,1.82,0.97,0.69,1.66,0.88,1.57
81,Sassuolo,it Serie A,29,26.1,54.9,38,418,"3,420",38.0,60,39,99,53,7,7,92,4,55.7,50.2,39.0,89.2,815,1507,1.58,1.03,2.61,1.39,2.42,1.46,1.03,2.49,1.32,2.35
82,Sevilla,es La Liga,33,28.6,59.4,38,418,"3,420",38.0,51,40,91,49,2,3,97,4,42.4,40.0,32.5,72.5,625,1596,1.34,1.05,2.39,1.29,2.34,1.12,0.86,1.97,1.05,1.91
83,Southampton,eng Premier League,25,25.7,47.7,38,418,"3,420",38.0,41,26,67,37,4,4,65,2,44.8,41.6,32.5,74.1,728,1326,1.08,0.68,1.76,0.97,1.66,1.18,0.85,2.03,1.10,1.95
84,Spezia,it Serie A,30,24.4,42.7,38,418,"3,420",38.0,38,25,63,35,3,5,88,4,40.1,36.2,27.9,64.1,511,999,1.00,0.66,1.66,0.92,1.58,1.05,0.73,1.79,0.95,1.69
85,Strasbourg,fr Ligue 1,26,27.0,49.5,38,418,"3,420",38.0,56,40,96,50,6,8,72,3,55.6,49.4,39.6,89.0,573,1589,1.47,1.05,2.53,1.32,2.37,1.46,1.04,2.51,1.30,2.34
86,Stuttgart,de Bundesliga,34,24.0,50.7,34,374,"3,060",34.0,40,31,71,39,1,3,64,2,43.7,41.4,33.1,74.5,571,1269,1.18,0.91,2.09,1.15,2.06,1.29,0.97,2.26,1.22,2.19
87,Torino,it Serie A,31,25.2,53.3,38,418,"3,420",38.0,43,27,70,37,6,6,89,3,48.7,44.1,36.3,80.4,628,1320,1.13,0.71,1.84,0.97,1.68,1.28,0.96,2.24,1.16,2.12
88,Tottenham,eng Premier League,25,26.5,51.8,38,418,"3,420",38.0,63,50,113,58,5,5,69,1,61.2,57.3,47.0,104.4,791,1459,1.66,1.32,2.97,1.53,2.84,1.61,1.24,2.85,1.51,2.75
89,Troyes,fr Ligue 1,35,27.1,44.4,38,418,"3,420",38.0,35,23,58,29,6,7,75,6,39.2,33.8,27.0,60.8,598,1216,0.92,0.61,1.53,0.76,1.37,1.03,0.71,1.74,0.89,1.60
90,Udinese,it Serie A,29,26.2,42.7,38,418,"3,420",38.0,58,36,94,55,3,4,95,6,51.3,48.2,36.6,84.8,669,1226,1.53,0.95,2.47,1.45,2.39,1.35,0.96,2.31,1.27,2.23
91,Union Berlin,de Bundesliga,28,28.3,43.7,34,374,"3,060",34.0,50,33,83,45,5,5,62,1,47.0,43.3,31.5,74.8,429,1123,1.47,0.97,2.44,1.32,2.29,1.38,0.93,2.31,1.27,2.20
92,Valencia,es La Liga,34,24.8,43.6,38,418,"3,420",38.0,45,30,75,37,8,9,134,8,39.0,32.2,25.4,57.6,554,1202,1.18,0.79,1.97,0.97,1.76,1.03,0.67,1.69,0.85,1.52
93,Venezia,it Serie A,39,26.1,42.3,38,418,"3,420",38.0,34,23,57,31,3,5,110,9,36.5,32.4,26.4,58.8,540,1088,0.89,0.61,1.50,0.82,1.42,0.96,0.69,1.66,0.85,1.55
94,Villarreal,es La Liga,29,28.0,56.8,38,418,"3,420",38.0,62,51,113,57,5,6,81,1,64.2,60.0,50.9,110.9,790,1698,1.63,1.34,2.97,1.50,2.84,1.69,1.34,3.03,1.58,2.92
95,Watford,eng Premier League,30,28.4,40.7,38,418,"3,420",38.0,33,26,59,32,1,2,63,3,40.0,38.4,32.5,70.9,557,1070,0.87,0.68,1.55,0.84,1.53,1.05,0.86,1.91,1.01,1.87
96,West Ham,eng Premier League,25,28.2,47.9,38,418,"3,420",38.0,58,46,104,54,4,6,52,3,51.4,46.8,37.4,84.2,646,1449,1.53,1.21,2.74,1.42,2.63,1.35,0.99,2.34,1.23,2.22
97,Wolfsburg,de Bundesliga,30,26.0,50.5,34,374,"3,060",34.0,42,25,67,39,3,4,61,3,47.7,44.9,33.8,78.7,502,1220,1.24,0.74,1.97,1.15,1.88,1.40,1.00,2.40,1.32,2.31
98,Wolves,eng Premier League,26,27.3,49.5,38,418,"3,420",38.0,35,22,57,34,1,1,62,2,37.5,36.8,26.4,63.2,723,1283,0.92,0.58,1.50,0.89,1.47,0.99,0.69,1.68,0.97,1.66
1,Ajaccio,fr Ligue 1,36,29.1,43.2,38,418,"3,420",38.0,22,12,34,16,6,9,86,10,36.1,29.5,22.8,52.3,487,1169,0.58,0.32,0.89,0.42,0.74,0.95,0.60,1.55,0.78,1.38
2,Almería,es La Liga,29,26.4,45.1,38,418,"3,420",38.0,49,33,82,47,2,3,98,4,45.5,43.2,32.5,75.6,569,1090,1.29,0.87,2.16,1.24,2.11,1.20,0.85,2.05,1.14,1.99
3,Angers,fr Ligue 1,33,25.7,46.9,38,418,"3,420",38.0,31,18,49,27,4,4,69,5,40.9,37.8,28.0,65.7,632,1393,0.82,0.47,1.29,0.71,1.18,1.08,0.74,1.81,0.99,1.73
4,Arsenal,eng Premier League,26,24.7,59.3,38,418,"3,420",38.0,84,64,148,81,3,4,51,0,71.7,68.9,53.6,122.5,824,2049,2.21,1.68,3.89,2.13,3.82,1.89,1.41,3.30,1.81,3.22
5,Aston Villa,eng Premier League,26,27.0,49.3,38,418,"3,420",38.0,49,35,84,46,3,4,80,1,50.3,47.2,38.8,86.0,637,1242,1.29,0.92,2.21,1.21,2.13,1.32,1.02,2.34,1.24,2.26
6,Atalanta,it Serie A,27,26.5,49.9,38,418,"3,420",38.0,64,42,106,58,6,8,83,3,57.7,51.3,42.7,93.9,687,1637,1.68,1.11,2.79,1.53,2.63,1.52,1.12,2.64,1.35,2.47
7,Athletic Club,es La Liga,26,27.4,51.6,38,418,"3,420",38.0,46,33,79,41,5,7,81,5,54.2,48.7,38.9,87.6,864,1816,1.21,0.87,2.08,1.08,1.95,1.43,1.02,2.45,1.28,2.31
8,Atlético Madrid,es La Liga,27,28.5,50.6,38,418,"3,420",38.0,68,51,119,67,1,1,92,8,61.9,61.1,48.0,109.1,730,1571,1.79,1.34,3.13,1.76,3.11,1.63,1.26,2.89,1.61,2.87
9,Augsburg,de Bundesliga,34,25.9,41.7,34,374,"3,060",34.0,41,29,70,37,4,5,96,5,34.7,30.9,24.3,55.2,331,847,1.21,0.85,2.06,1.09,1.94,1.02,0.71,1.74,0.91,1.62
10,Auxerre,fr Ligue 1,33,27.3,43.3,38,418,"3,420",38.0,32,17,49,25,7,9,54,6,42.8,35.8,27.3,63.1,531,1284,0.84,0.45,1.29,0.66,1.11,1.13,0.72,1.84,0.94,1.66
11,Barcelona,es La Liga,29,25.9,64.3,38,418,"3,420",38.0,69,56,125,69,0,2,84,6,75.5,74.0,60.1,134.1,963,2180,1.82,1.47,3.29,1.82,3.29,1.99,1.58,3.57,1.95,3.53
12,Bayern Munich,de Bundesliga,28,26.6,64.2,34,374,"3,060",34.0,90,67,157,87,3,5,49,3,75.0,71.0,56.6,127.7,863,2041,2.65,1.97,4.62,2.56,4.53,2.20,1.67,3.87,2.09,3.75
13,Betis,es La Liga,30,28.6,50.6,38,418,"3,420",38.0,43,26,69,35,8,9,83,15,51.3,44.3,34.6,78.9,620,1272,1.13,0.68,1.82,0.92,1.61,1.35,0.91,2.26,1.17,2.08
14,Bochum,de Bundesliga,26,29.4,46.1,34,374,"3,060",34.0,37,28,65,34,3,3,64,1,40.0,37.7,28.4,66.0,350,1022,1.09,0.82,1.91,1.00,1.82,1.18,0.83,2.01,1.11,1.94
15,Bologna,it Serie A,27,26.6,54.7,38,418,"3,420",38.0,52,41,93,46,6,6,84,3,43.8,39.4,31.5,70.9,564,1366,1.37,1.08,2.45,1.21,2.29,1.15,0.83,1.98,1.04,1.87
16,Bournemouth,eng Premier League,31,26.3,40.4,38,418,"3,420",38.0,37,24,61,37,0,0,68,0,38.5,38.5,28.4,66.9,504,1006,0.97,0.63,1.61,0.97,1.61,1.01,0.75,1.76,1.01,1.76
17,Brentford,eng Premier League,25,26.2,43.8,38,418,"3,420",38.0,56,36,92,49,7,8,57,1,56.3,50.1,38.4,88.5,392,1131,1.47,0.95,2.42,1.29,2.24,1.48,1.01,2.49,1.32,2.33
18,Brest,fr Ligue 1,29,26.6,44.9,38,418,"3,420",38.0,43,28,71,36,7,8,63,2,43.4,37.1,29.5,66.7,592,1311,1.13,0.74,1.87,0.95,1.68,1.14,0.78,1.92,0.98,1.75
19,Brighton,eng Premier League,29,26.3,60.2,38,418,"3,420",38.0,68,46,114,62,6,6,58,0,73.3,68.9,52.2,121.2,809,1849,1.79,1.21,3.00,1.63,2.84,1.93,1.37,3.30,1.81,3.19
20,Cádiz,es La Liga,38,29.1,41.9,38,418,"3,420",38.0,29,20,49,25,4,5,116,7,41.5,37.7,27.7,65.4,475,969,0.76,0.53,1.29,0.66,1.18,1.09,0.73,1.82,0.99,1.72
21,Celta Vigo,es La Liga,26,26.7,50.2,38,418,"3,420",38.0,41,31,72,39,2,3,85,6,42.6,40.3,30.8,71.1,704,1403,1.08,0.82,1.89,1.03,1.84,1.12,0.81,1.93,1.06,1.87
22,Chelsea,eng Premier League,32,26.3,58.7,38,418,"3,420",38.0,37,27,64,34,3,3,81,3,49.5,47.2,38.6,85.8,829,1737,0.97,0.71,1.68,0.89,1.61,1.30,1.02,2.32,1.24,2.26
23,Clermont Foot,fr Ligue 1,28,27.2,48.3,38,418,"3,420",38.0,44,26,70,37,7,10,72,5,47.5,39.6,27.7,67.4,532,1304,1.16,0.68,1.84,0.97,1.66,1.25,0.73,1.98,1.04,1.77
24,Cremonese,it Serie A,33,26.0,42.1,38,418,"3,420",38.0,35,18,53,30,5,7,81,3,38.7,33.2,24.3,57.5,521,1107,0.92,0.47,1.39,0.79,1.26,1.02,0.64,1.66,0.87,1.51
25,Crystal Palace,eng Premier League,26,26.7,46.3,38,418,"3,420",38.0,38,29,67,37,1,3,82,3,39.3,36.8,29.0,65.8,556,1243,1.00,0.76,1.76,0.97,1.74,1.03,0.76,1.80,0.97,1.73
26,Dortmund,de Bundesliga,30,25.8,58.2,34,374,"3,060",34.0,81,61,142,77,4,6,66,0,71.1,66.5,51.9,118.4,783,1628,2.38,1.79,4.18,2.26,4.06,2.09,1.53,3.62,1.96,3.48
27,Eint Frankfurt,de Bundesliga,28,26.4,52.9,34,374,"3,060",34.0,56,33,89,50,6,6,71,1,52.1,47.4,36.2,83.5,632,1372,1.65,0.97,2.62,1.47,2.44,1.53,1.06,2.60,1.39,2.46
28,Elche,es La Liga,32,28.3,45.5,38,418,"3,420",38.0,30,21,51,26,4,5,99,12,37.5,33.6,27.1,60.7,561,1197,0.79,0.55,1.34,0.68,1.24,0.99,0.71,1.70,0.88,1.60
29,Empoli,it Serie A,32,25.3,47.3,38,418,"3,420",38.0,35,20,55,33,2,2,88,7,38.8,37.2,26.8,64.0,608,1114,0.92,0.53,1.45,0.87,1.39,1.02,0.71,1.73,0.98,1.69
30,Espanyol,es La Liga,33,27.6,43.1,38,418,"3,420",38.0,51,31,82,46,5,5,99,10,48.3,44.4,35.0,79.4,528,1146,1.34,0.82,2.16,1.21,2.03,1.27,0.92,2.19,1.17,2.09
31,Everton,eng Premier League,28,26.6,42.8,38,418,"3,420",38.0,32,24,56,29,3,3,81,2,45.2,42.8,32.4,75.1,500,1052,0.84,0.63,1.47,0.76,1.39,1.19,0.85,2.04,1.13,1.98
32,Fiorentina,it Serie A,30,26.5,56.1,38,418,"3,420",38.0,51,37,88,47,4,6,93,3,55.0,50.8,40.2,91.0,789,1627,1.34,0.97,2.32,1.24,2.21,1.45,1.06,2.51,1.34,2.39
33,Freiburg,de Bundesliga,27,27.4,48.1,34,374,"3,060",34.0,51,34,85,44,7,8,62,2,47.9,41.6,28.5,70.1,427,1039,1.50,1.00,2.50,1.29,2.29,1.41,0.84,2.25,1.22,2.06
34,Fulham,eng Premier League,29,28.2,48.8,38,418,"3,420",38.0,52,33,85,47,5,9,80,1,46.2,39.1,28.5,67.7,663,1326,1.37,0.87,2.24,1.24,2.11,1.22,0.75,1.97,1.03,1.78
35,Getafe,es La Liga,25,27.4,39.9,38,418,"3,420",38.0,34,21,55,29,5,8,126,9,36.7,30.4,22.5,53.0,365,1003,0.89,0.55,1.45,0.76,1.32,0.96,0.59,1.56,0.80,1.39
36,Girona,es La Liga,29,26.0,51.3,38,418,"3,420",38.0,55,41,96,47,8,9,92,3,50.6,43.8,37.5,81.3,725,1378,1.45,1.08,2.53,1.24,2.32,1.33,0.99,2.32,1.15,2.14
37,Gladbach,de Bundesliga,27,26.8,53.7,34,374,"3,060",34.0,52,39,91,48,4,6,62,3,52.1,47.5,41.2,88.7,518,1168,1.53,1.15,2.68,1.41,2.56,1.53,1.21,2.74,1.40,2.61
38,Hellas Verona,it Serie A,36,26.6,41.2,38,418,"3,420",38.0,29,22,51,28,1,1,103,3,35.8,35.1,28.1,63.2,503,1063,0.76,0.58,1.34,0.74,1.32,0.94,0.74,1.68,0.92,1.66
39,Hertha BSC,de Bundesliga,32,26.0,42.0,34,374,"3,060",34.0,42,23,65,35,7,7,82,1,39.4,33.9,25.3,59.2,413,914,1.24,0.68,1.91,1.03,1.71,1.16,0.74,1.90,1.00,1.74
40,Hoffenheim,de Bundesliga,31,26.8,48.3,34,374,"3,060",34.0,46,30,76,39,7,9,80,5,48.0,41.1,32.4,73.4,457,1175,1.35,0.88,2.24,1.15,2.03,1.41,0.95,2.36,1.21,2.16
41,Inter,it Serie A,25,28.8,55.7,38,418,"3,420",38.0,68,50,118,64,4,5,65,3,68.0,64.5,51.8,116.3,668,1624,1.79,1.32,3.11,1.68,3.00,1.79,1.36,3.15,1.70,3.06
42,Juventus,it Serie A,29,27.7,49.6,38,418,"3,420",38.0,56,41,97,53,3,6,74,6,55.3,50.4,39.8,90.2,673,1394,1.47,1.08,2.55,1.39,2.47,1.45,1.05,2.50,1.33,2.37
43,Köln,de Bundesliga,27,26.0,49.9,34,374,"3,060",34.0,46,31,77,42,4,4,75,3,47.9,44.7,35.1,79.9,522,1247,1.35,0.91,2.26,1.24,2.15,1.41,1.03,2.44,1.32,2.35
44,Lazio,it Serie A,24,28.6,52.1,38,418,"3,420",38.0,59,37,96,53,6,8,87,2,51.1,44.9,34.3,79.2,683,1381,1.55,0.97,2.53,1.39,2.37,1.35,0.90,2.25,1.18,2.08
45,Lecce,it Serie A,29,24.8,41.3,38,418,"3,420",38.0,31,21,52,27,4,6,86,2,36.1,31.4,25.3,56.7,515,1232,0.82,0.55,1.37,0.71,1.26,0.95,0.66,1.61,0.83,1.49
46,Leeds United,eng Premier League,29,25.3,47.0,38,418,"3,420",38.0,45,31,76,44,1,3,89,3,47.3,44.9,31.8,76.7,555,1429,1.18,0.82,2.00,1.16,1.97,1.24,0.84,2.08,1.18,2.02
47,Leicester City,eng Premier League,28,26.1,47.7,38,418,"3,420",38.0,49,36,85,46,3,6,63,2,50.5,45.7,38.4,84.1,580,1304,1.29,0.95,2.24,1.21,2.16,1.33,1.01,2.34,1.20,2.21
48,Lens,fr Ligue 1,29,26.4,55.6,38,418,"3,420",38.0,66,49,115,60,6,9,63,3,66.7,59.8,47.4,107.2,738,1829,1.74,1.29,3.03,1.58,2.87,1.76,1.25,3.00,1.57,2.82
49,Leverkusen,de Bundesliga,27,24.7,52.0,34,374,"3,060",34.0,57,44,101,52,5,7,75,7,51.4,46.0,38.9,85.0,678,1243,1.68,1.29,2.97,1.53,2.82,1.51,1.15,2.66,1.35,2.50
50,Lille,fr Ligue 1,26,26.0,60.5,38,418,"3,420",38.0,65,40,105,54,11,12,82,1,68.7,60.0,46.4,106.5,798,1982,1.71,1.05,2.76,1.42,2.47,1.81,1.22,3.03,1.58,2.80
51,Liverpool,eng Premier League,28,27.4,60.8,38,418,"3,420",38.0,71,58,129,69,2,4,57,1,71.5,68.4,55.6,124.1,719,1992,1.87,1.53,3.39,1.82,3.34,1.88,1.46,3.35,1.80,3.26
52,Lorient,fr Ligue 1,30,25.2,46.6,38,418,"3,420",38.0,49,32,81,45,4,6,48,4,44.5,39.8,29.4,69.2,753,1329,1.29,0.84,2.13,1.18,2.03,1.17,0.77,1.94,1.05,1.82
53,Lyon,fr Ligue 1,29,25.5,58.1,38,418,"3,420",38.0,63,45,108,57,6,8,61,3,61.1,54.8,45.1,99.9,709,1883,1.66,1.18,2.84,1.50,2.68,1.61,1.19,2.80,1.44,2.63
54,Mainz 05,de Bundesliga,27,27.0,44.8,34,374,"3,060",34.0,54,35,89,50,4,6,69,1,47.1,42.4,30.0,72.4,364,1155,1.59,1.03,2.62,1.47,2.50,1.39,0.88,2.27,1.25,2.13
55,Mallorca,es La Liga,31,27.7,41.1,38,418,"3,420",38.0,36,27,63,32,4,5,120,5,35.2,31.1,26.5,57.7,476,948,0.95,0.71,1.66,0.84,1.55,0.93,0.70,1.62,0.82,1.52
56,Manchester City,eng Premier League,24,27.2,64.7,38,418,"3,420",38.0,92,69,161,83,9,10,44,1,78.6,71.1,57.5,128.6,988,2073,2.42,1.82,4.24,2.18,4.00,2.07,1.51,3.58,1.87,3.38
57,Manchester Utd,eng Premier League,26,26.9,53.7,38,418,"3,420",38.0,56,42,98,53,3,3,78,2,67.7,65.3,52.2,117.5,711,1595,1.47,1.11,2.58,1.39,2.50,1.78,1.37,3.15,1.72,3.09
58,Marseille,fr Ligue 1,30,27.3,56.7,38,418,"3,420",38.0,61,38,99,55,6,7,63,4,65.3,60.0,47.0,107.0,759,1919,1.61,1.00,2.61,1.45,2.45,1.72,1.24,2.95,1.58,2.82
59,Milan,it Serie A,30,26.0,55.6,38,418,"3,420",38.0,61,49,110,56,5,5,90,2,58.8,55.1,46.0,101.1,795,1584,1.61,1.29,2.89,1.47,2.76,1.55,1.21,2.76,1.45,2.66
60,Monaco,fr Ligue 1,27,24.7,48.2,38,418,"3,420",38.0,69,47,116,64,5,8,64,5,62.1,55.7,42.2,97.9,719,1820,1.82,1.24,3.05,1.68,2.92,1.63,1.11,2.74,1.47,2.58
61,Montpellier,fr Ligue 1,31,26.0,45.8,38,418,"3,420",38.0,64,41,105,57,7,7,68,10,52.2,46.7,34.3,80.9,556,1250,1.68,1.08,2.76,1.50,2.58,1.37,0.90,2.27,1.23,2.13
62,Monza,it Serie A,31,26.6,55.2,38,418,"3,420",38.0,46,31,77,41,5,6,90,4,45.9,41.2,33.8,75.0,708,1362,1.21,0.82,2.03,1.08,1.89,1.21,0.89,2.10,1.08,1.97
63,Nantes,fr Ligue 1,29,26.7,45.9,38,418,"3,420",38.0,35,27,62,32,3,5,65,4,42.8,39.0,31.8,70.8,705,1565,0.92,0.71,1.63,0.84,1.55,1.13,0.84,1.96,1.03,1.86
64,Napoli,it Serie A,27,26.4,61.8,38,418,"3,420",38.0,75,57,132,67,8,10,47,1,64.7,56.8,46.8,103.6,907,1804,1.97,1.50,3.47,1.76,3.26,1.70,1.23,2.94,1.50,2.73
65,Newcastle Utd,eng Premier League,27,27.3,52.3,38,418,"3,420",38.0,64,42,106,58,6,6,61,1,71.9,67.3,51.8,119.1,695,1618,1.68,1.11,2.79,1.53,2.63,1.89,1.36,3.26,1.77,3.13
66,Nice,fr Ligue 1,34,26.5,51.5,38,418,"3,420",38.0,47,32,79,41,6,7,53,3,57.2,51.7,39.3,91.1,774,1534,1.24,0.84,2.08,1.08,1.92,1.51,1.04,2.54,1.36,2.40
67,Nott'ham Forest,eng Premier League,33,26.5,37.6,38,418,"3,420",38.0,36,22,58,33,3,6,84,0,39.3,34.6,26.3,61.0,436,859,0.95,0.58,1.53,0.87,1.45,1.03,0.69,1.73,0.91,1.60
68,Osasuna,es La Liga,26,27.5,48.0,38,418,"3,420",38.0,36,30,66,32,4,5,93,7,39.8,35.9,28.4,64.3,545,1356,0.95,0.79,1.74,0.84,1.63,1.05,0.75,1.80,0.94,1.69
69,Paris S-G,fr Ligue 1,26,26.9,60.7,38,418,"3,420",38.0,86,62,148,81,5,7,57,5,78.2,72.6,56.8,129.3,810,2029,2.26,1.63,3.89,2.13,3.76,2.06,1.49,3.55,1.91,3.40
70,Rayo Vallecano,es La Liga,28,27.9,51.2,38,418,"3,420",38.0,41,29,70,37,4,8,90,6,43.9,37.8,30.0,67.8,703,1390,1.08,0.76,1.84,0.97,1.74,1.16,0.79,1.95,0.99,1.78
71,RB Leipzig,de Bundesliga,25,26.3,58.1,34,374,"3,060",34.0,64,39,103,58,6,7,69,2,62.7,57.4,43.2,100.6,599,1450,1.88,1.15,3.03,1.71,2.85,1.84,1.27,3.11,1.69,2.96
72,Real Madrid,es La Liga,26,27.4,60.9,38,418,"3,420",38.0,73,56,129,64,9,12,72,3,75.5,66.1,56.8,122.9,1008,2017,1.92,1.47,3.39,1.68,3.16,1.99,1.49,3.48,1.74,3.23
73,Real Sociedad,es La Liga,30,25.9,54.6,38,418,"3,420",38.0,47,36,83,45,2,4,90,2,52.9,49.7,39.7,89.4,692,1483,1.24,0.95,2.18,1.18,2.13,1.39,1.04,2.44,1.31,2.35
74,Reims,fr Ligue 1,34,24.9,48.7,38,418,"3,420",38.0,45,31,76,38,7,8,70,9,61.5,55.2,43.4,98.6,712,1717,1.18,0.82,2.00,1.00,1.82,1.62,1.14,2.76,1.45,2.59
75,Rennes,fr Ligue 1,32,25.2,55.4,38,418,"3,420",38.0,66,47,113,63,3,3,58,6,61.4,59.0,45.4,104.4,774,1922,1.74,1.24,2.97,1.66,2.89,1.62,1.20,2.81,1.55,2.75
76,Roma,it Serie A,30,27.4,48.6,38,418,"3,420",38.0,50,33,83,43,7,10,83,4,57.4,49.9,38.9,88.8,684,1217,1.32,0.87,2.18,1.13,2.00,1.51,1.02,2.53,1.31,2.34
77,Salernitana,it Serie A,30,27.2,44.9,38,418,"3,420",38.0,46,34,80,44,2,2,85,4,36.7,35.2,26.9,62.0,519,1089,1.21,0.89,2.11,1.16,2.05,0.96,0.71,1.67,0.93,1.63
78,Sampdoria,it Serie A,40,27.9,46.1,38,418,"3,420",38.0,23,18,41,22,1,2,108,3,34.1,32.5,24.4,56.9,466,1126,0.61,0.47,1.08,0.58,1.05,0.90,0.64,1.54,0.85,1.50
79,Sassuolo,it Serie A,31,26.1,49.2,38,418,"3,420",38.0,46,30,76,37,9,10,90,6,51.6,43.9,36.1,80.0,761,1565,1.21,0.79,2.00,0.97,1.76,1.36,0.95,2.31,1.16,2.11
80,Schalke 04,de Bundesliga,35,27.5,46.0,34,374,"3,060",34.0,32,24,56,28,4,5,68,1,39.6,35.9,28.7,64.6,415,934,0.94,0.71,1.65,0.82,1.53,1.16,0.84,2.01,1.06,1.90
81,Sevilla,es La Liga,35,28.7,52.6,38,418,"3,420",38.0,47,31,78,43,4,5,121,13,46.3,42.4,32.0,74.5,558,1513,1.24,0.82,2.05,1.13,1.95,1.22,0.84,2.06,1.12,1.96
82,Southampton,eng Premier League,36,24.7,44.5,38,418,"3,420",38.0,36,25,61,34,2,4,73,0,37.8,34.6,28.1,62.7,588,1125,0.95,0.66,1.61,0.89,1.55,0.99,0.74,1.73,0.91,1.65
83,Spezia,it Serie A,34,25.7,47.4,38,418,"3,420",38.0,29,18,47,25,4,4,103,6,41.5,38.5,29.3,67.8,553,1163,0.76,0.47,1.24,0.66,1.13,1.09,0.77,1.86,1.01,1.78
84,Strasbourg,fr Ligue 1,29,27.3,45.9,38,418,"3,420",38.0,48,28,76,43,5,7,73,7,48.5,42.8,32.1,74.8,610,1351,1.26,0.74,2.00,1.13,1.87,1.28,0.84,2.12,1.13,1.97
85,Stuttgart,de Bundesliga,30,24.7,50.2,34,374,"3,060",34.0,45,34,79,40,5,5,72,5,47.6,43.7,38.1,81.7,609,1278,1.32,1.00,2.32,1.18,2.18,1.40,1.12,2.52,1.28,2.40
86,Torino,it Serie A,28,25.2,53.2,38,418,"3,420",38.0,41,34,75,39,2,2,81,0,41.8,40.2,35.0,75.2,684,1328,1.08,0.89,1.97,1.03,1.92,1.10,0.92,2.02,1.06,1.98
87,Tottenham,eng Premier League,29,27.6,50.0,38,418,"3,420",38.0,68,46,114,63,5,6,77,3,57.0,52.3,43.0,95.4,692,1449,1.79,1.21,3.00,1.66,2.87,1.50,1.13,2.63,1.38,2.51
88,Toulouse,fr Ligue 1,29,25.1,51.3,38,418,"3,420",38.0,50,33,83,46,4,4,62,3,52.5,49.4,35.8,85.2,648,1737,1.32,0.87,2.18,1.21,2.08,1.38,0.94,2.33,1.30,2.24
89,Troyes,fr Ligue 1,32,25.8,42.6,38,418,"3,420",38.0,43,26,69,38,5,5,55,5,39.1,35.6,27.9,63.5,638,1235,1.13,0.68,1.82,1.00,1.68,1.03,0.73,1.76,0.94,1.67
90,Udinese,it Serie A,30,26.1,48.0,38,418,"3,420",38.0,46,41,87,45,1,2,88,3,46.9,45.4,37.8,83.2,646,1354,1.21,1.08,2.29,1.18,2.26,1.24,0.99,2.23,1.20,2.19
91,Union Berlin,de Bundesliga,28,27.9,43.8,34,374,"3,060",34.0,49,38,87,46,3,7,65,2,37.9,32.5,25.9,58.4,375,1012,1.44,1.12,2.56,1.35,2.47,1.12,0.76,1.88,0.95,1.72
92,Valencia,es La Liga,28,24.2,52.0,38,418,"3,420",38.0,40,23,63,35,5,8,93,8,49.3,43.0,32.5,75.5,786,1472,1.05,0.61,1.66,0.92,1.53,1.30,0.86,2.15,1.13,1.99
