Rk,Squad,Comp,Num_of_Players,Weekly_Wages,Annual_Wages,Pct_Estimated,Season,Weekly_Wages_EUR,Weekly_Wages_GBP,Weekly_Wages_USD,Annual_Wages_EUR,Annual_Wages_GBP,Annual_Wages_USD
61,Empoli,Serie A,80,"€ 517,231 (£ 444,979, $565,571)","€ 26,896,000 (£ 23,138,908, $29,409,716)",33%,2022-2023,517231.0,444979.0,565571.0,26896000.0,23138908.0,29409716.0
62,Lille,Ligue 1,45,"€ 511,923 (£ 440,413, $559,768)","€ 26,620,000 (£ 22,901,460, $29,107,921)",80%,2022-2023,511923.0,440413.0,559768.0,26620000.0,22901460.0,29107921.0
63,Sampdoria,Serie A,88,"€ 507,231 (£ 436,376, $554,637)","€ 26,376,000 (£ 22,691,547, $28,841,118)",33%,2022-2023,507231.0,436376.0,554637.0,26376000.0,22691547.0,28841118.0
64,Augsburg,Bundesliga,62,"€ 501,346 (£ 431,313, $548,202)","€ 26,070,000 (£ 22,428,292, $28,506,518)",93%,2022-2023,501346.0,431313.0,548202.0,26070000.0,22428292.0,28506518.0
65,Espanyol,La Liga,48,"€ 478,654 (£ 411,791, $523,389)","€ 24,890,000 (£ 21,413,123, $27,216,235)",86%,2022-2023,478654.0,411791.0,523389.0,24890000.0,21413123.0,27216235.0
66,Werder Bremen,Bundesliga,53,"€ 453,654 (£ 390,283, $496,053)","€ 23,590,000 (£ 20,294,723, $25,794,737)",100%,2022-2023,453654.0,390283.0,496053.0,23590000.0,20294723.0,25794737.0
67,Spezia,Serie A,87,"€ 417,885 (£ 359,510, $456,940)","€ 21,730,000 (£ 18,694,543, $23,760,902)",33%,2022-2023,417885.0,359510.0,456940.0,21730000.0,18694543.0,23760902.0
68,Köln,Bundesliga,61,"€ 411,154 (£ 353,720, $449,581)","€ 21,380,000 (£ 18,393,434, $23,378,187)",96%,2022-2023,411154.0,353720.0,449581.0,21380000.0,18393434.0,23378187.0
69,Mainz 05,Bundesliga,55,"€ 410,577 (£ 353,224, $448,950)","€ 21,350,000 (£ 18,367,626, $23,345,385)",96%,2022-2023,410577.0,353224.0,448950.0,21350000.0,18367626.0,23345385.0
70,Hellas Verona,Serie A,89,"€ 408,462 (£ 351,404, $446,637)","€ 21,240,000 (£ 18,272,994, $23,225,100)",45%,2022-2023,408462.0,351404.0,446637.0,21240000.0,18272994.0,23225100.0
71,Union Berlin,Bundesliga,56,"€ 392,885 (£ 338,003, $429,604)","€ 20,430,000 (£ 17,576,141, $22,339,400)",100%,2022-2023,392885.0,338003.0,429604.0,20430000.0,17576141.0,22339400.0
72,Cremonese,Serie A,88,"€ 391,846 (£ 337,109, $428,468)","€ 20,376,000 (£ 17,529,688, $22,280,354)",26%,2022-2023,391846.0,337109.0,428468.0,20376000.0,17529688.0,22280354.0
73,Udinese,Serie A,76,"€ 385,231 (£ 331,418, $421,235)","€ 20,032,000 (£ 17,233,735, $21,904,205)",42%,2022-2023,385231.0,331418.0,421235.0,20032000.0,17233735.0,21904205.0
74,Freiburg,Bundesliga,54,"€ 376,731 (£ 324,105, $411,940)","€ 19,590,000 (£ 16,853,482, $21,420,895)",96%,2022-2023,376731.0,324105.0,411940.0,19590000.0,16853482.0,21420895.0
75,Valladolid,La Liga,48,"€ 363,750 (£ 312,938, $397,746)","€ 18,915,000 (£ 16,272,769, $20,682,808)",93%,2022-2023,363750.0,312938.0,397746.0,18915000.0,16272769.0,20682808.0
76,Nantes,Ligue 1,53,"€ 363,462 (£ 312,690, $397,431)","€ 18,900,000 (£ 16,259,867, $20,666,403)",50%,2022-2023,363462.0,312690.0,397431.0,18900000.0,16259867.0,20666403.0
77,Mallorca,La Liga,51,"€ 350,769 (£ 301,770, $383,552)","€ 18,240,000 (£ 15,692,061, $19,944,720)",92%,2022-2023,350769.0,301770.0,383552.0,18240000.0,15692061.0,19944720.0
