Rk,Squad,Comp,Num_Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G_plus_A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG_plus_xAG,PrgC,PrgP,Gls_per90,Ast_per90,G_plus_A_per90,G_minus_PK_per90,G_plus_A_minus_PK_per90,xG_per90,xAG_per90,xG_plus_xAG_per90,npxG_per90,npxG_plus_xAG_per90,Season
20.0,Cádiz,La Liga,38.0,29.1,41.9,38.0,418.0,3420.0,38.0,29.0,20.0,49.0,25.0,4.0,5.0,116.0,7.0,41.5,37.7,27.7,65.4,475.0,969.0,0.76,0.53,1.29,0.66,1.18,1.09,0.73,1.82,0.99,1.72,2022-2023
21.0,Celta Vigo,La Liga,26.0,26.7,50.2,38.0,418.0,3420.0,38.0,41.0,31.0,72.0,39.0,2.0,3.0,85.0,6.0,42.6,40.3,30.8,71.1,704.0,1403.0,1.08,0.82,1.89,1.03,1.84,1.12,0.81,1.93,1.06,1.87,2022-2023
22.0,Chelsea,Premier League,32.0,26.3,58.7,38.0,418.0,3420.0,38.0,37.0,27.0,64.0,34.0,3.0,3.0,81.0,3.0,49.5,47.2,38.6,85.8,829.0,1737.0,0.97,0.71,1.68,0.89,1.61,1.3,1.02,2.32,1.24,2.26,2022-2023
23.0,Clermont Foot,Ligue 1,28.0,27.2,48.3,38.0,418.0,3420.0,38.0,44.0,26.0,70.0,37.0,7.0,10.0,72.0,5.0,47.5,39.6,27.7,67.4,532.0,1304.0,1.16,0.68,1.84,0.97,1.66,1.25,0.73,1.98,1.04,1.77,2022-2023
24.0,Cremonese,Serie A,33.0,26.0,42.1,38.0,418.0,3420.0,38.0,35.0,18.0,53.0,30.0,5.0,7.0,81.0,3.0,38.7,33.2,24.3,57.5,521.0,1107.0,0.92,0.47,1.39,0.79,1.26,1.02,0.64,1.66,0.87,1.51,2022-2023
25.0,Crystal Palace,Premier League,26.0,26.7,46.3,38.0,418.0,3420.0,38.0,38.0,29.0,67.0,37.0,1.0,3.0,82.0,3.0,39.3,36.8,29.0,65.8,556.0,1243.0,1.0,0.76,1.76,0.97,1.74,1.03,0.76,1.8,0.97,1.73,2022-2023
26.0,Dortmund,Bundesliga,30.0,25.8,58.2,34.0,374.0,3060.0,34.0,81.0,61.0,142.0,77.0,4.0,6.0,66.0,0.0,71.1,66.5,51.9,118.4,783.0,1628.0,2.38,1.79,4.18,2.26,4.06,2.09,1.53,3.62,1.96,3.48,2022-2023
27.0,Eint Frankfurt,Bundesliga,28.0,26.4,52.9,34.0,374.0,3060.0,34.0,56.0,33.0,89.0,50.0,6.0,6.0,71.0,1.0,52.1,47.4,36.2,83.5,632.0,1372.0,1.65,0.97,2.62,1.47,2.44,1.53,1.06,2.6,1.39,2.46,2022-2023
28.0,Elche,La Liga,32.0,28.3,45.5,38.0,418.0,3420.0,38.0,30.0,21.0,51.0,26.0,4.0,5.0,99.0,12.0,37.5,33.6,27.1,60.7,561.0,1197.0,0.79,0.55,1.34,0.68,1.24,0.99,0.71,1.7,0.88,1.6,2022-2023
29.0,Empoli,Serie A,32.0,25.3,47.3,38.0,418.0,3420.0,38.0,35.0,20.0,55.0,33.0,2.0,2.0,88.0,7.0,38.8,37.2,26.8,64.0,608.0,1114.0,0.92,0.53,1.45,0.87,1.39,1.02,0.71,1.73,0.98,1.69,2022-2023
